name,playerId,teamId,roundPick
flood,1676,1,0
glyde,314199,1,1
chalq,243787,1,2
rusty,73770,1,3
snuffles,51687,1,4
vetch,353301,1,5
werdvl,52257,1,6
aftermath,357506,2,0
phonsc,18603,2,1
vayjayjayy,12865,2,2
penguin,29130,2,3
minionsman,300672,2,4
miles,80075,2,5
butcher,433,2,6
trex,42,3,0
tiny,332051,3,1
qkumbr,8816,3,2
sotrix,44034,3,3
bio,84614,3,4
the80ssucked,40700,3,5
mrsd,45312,3,6
monster,328903,4,0
kgb,355268,4,1
hotmessexpress,75191,4,2
hans,5548,4,3
brut,2088,4,4
rehash,47819,4,5
tloglkr,51,4,6
st01c,330201,5,0
myq.l,11429,5,1
krypa,319457,5,2
swannie,13128,5,3
felldoh,357084,5,4
reserved,69522,5,5
ouija,335489,5,6
cows,305151,6,0
raul,324132,6,1
pure,1213,6,2
ice9,9418,6,3
cxt,84629,6,4
apt,49426,6,5
doc,29121,7,0
bubbly,6177,7,1
orion,5554,7,2
erebux,12774,7,3
mccool,9834,7,4
xzist,134722,7,5
prizm,303618,7,6
torrin,346090,8,0
demex,1819,8,1
nemesis,328900,8,2
jonnyp,4410,8,3
over,5893,8,4
twigs,47021,8,5
culliz,96,8,6
bentley,8435852,9,0
mb,15179,9,1
dj,69118,9,2
driver8,8276,9,3
esteem,8278,9,4
krinzen,9195,9,5
jean,187550,9,6
namastex,45164,10,0
72826,36032,10,1
devious,20786,10,2
lexcs,186545,10,3
fourtet,1228,10,4
joe,428,10,5
16b,270070,10,6